token_id,token_str,count,log_count
209, ,34655,4.539765903183112
1394,You,34399,4.5365458175484354
353, M,34319,4.535534624724186
414,ity,34247,4.534622533769769
88,w,34246,4.534609852342998
10386, thy,34220,4.534280005205082
2454, face,34175,4.53370852323986
1529, another,34151,4.533403425092907
1669, left,34034,4.531912994521574
1264, three,33976,4.531172247982623
74,i,33949,4.530826986248976
2080, far,33915,4.530391821401041
582,"),",33554,4.525744300194379
1583, They,33542,4.525588954604824
77,l,33322,4.522731060048578
755, get,33314,4.522626781404244
267,al,33266,4.52200058318427
78,m,33202,4.5211642452342335
789, work,33136,4.520300081549378
11,*,33118,4.520064101808785
2378, once,33089,4.519683642317171
18,1,33027,4.518869126442929
2360, night,32947,4.517815875902376
2717, nothing,32883,4.516971432469327
50254,                        ,32815,4.516072408592942
367, P,32475,4.511549159745066
312,am,32415,4.510746025938922
8701,his,32378,4.510250018728974
1918, give,32239,4.50838156225162
1342,man,32212,4.508017690420389
747, new,32023,4.505462015353893
35,B,31933,4.504239720989899
2335, took,31898,4.503763453709425
18032, unto,31769,4.50200354465664
2798, heart,31718,4.501305794775832
2872, young,31502,4.4983381271670835
372, de,31484,4.498089903724189
4609,which,31453,4.497662074942145
2389, love,31327,4.495918807079969
80,o,31296,4.495488833107507
2181, thing,30767,4.488085151529752
46,M,30722,4.487449484819456
277, d,30680,4.486855355276943
1339, let,30652,4.486458816884649
268, p,30646,4.48637379724617
1257,be,30551,4.485025430204567
386,ant,30478,4.483986464719332
2564, mind,30436,4.483387575428514
875, between,30073,4.478176754287997
328,un,30018,4.477381753267053
19615, thee,29929,4.476092206257591
1643, few,29698,4.472727202912817
2773,That,29613,4.471482406627663
1053, don,29536,4.470351679345818
1416, name,29499,4.46980729388179
984, because,29481,4.469542210771687
72,g,29372,4.467933519535777
337, 1,29355,4.467682084713682
1016, each,29176,4.465025750305725
322, S,29163,4.464832197849968
259, w,29030,4.462847035831674
1020,ful,28951,4.461663569340875
290,ent,28948,4.461618563954016
53,T,28925,4.461273367623787
2028, tell,28908,4.461018046045968
571,ia,28798,4.459362327372962
7721,?”,28774,4.459000239268694
5207, whom,28700,4.457881896733992
2858,but,28668,4.457397395797503
1930, side,28582,4.456092614887902
528,ous,28578,4.456031831895234
19514,",--",28553,4.455651745331352
1097, both,28503,4.4548905728112365
366,ate,28445,4.454005938103791
831, This,28375,4.452935870201179
48,O,28355,4.452629651622018
2586, country,28194,4.450156695406595
3392, father,28173,4.449833095266729
1900, always,28156,4.44957095653121
4455, seemed,28153,4.449524680325029
318,ation,28148,4.449447542355358
1824, water,28116,4.448953534644588
418, L,28108,4.448829944865182
2218, done,27908,4.445728714307106
1089, find,27905,4.445682026852679
1007, look,27896,4.44554193436792
378, B,27726,4.4428872189023485
2644, whole,27693,4.442370005686783
3261, looked,27664,4.441914975929848
2190, among,27592,4.440783181359334
1871,'d,27481,4.439032532120413
73,h,27461,4.438716348143792
1694, got,27440,4.4383841070347145
443, G,27414,4.437972408439348
1925, called,27359,4.437100219421662
460,ine,27280,4.435844365984441
1833,'ll,27039,4.431990625786141
3735, heard,27019,4.431669271313745
544, [,26856,4.429041328239956
1992,To,26847,4.428895762801387
379,her,26815,4.428377801299087
454,our,26718,4.426803945514867
1708, light,26679,4.426169547035326
330, C,26597,4.424832653288131
2326, seen,26398,4.421571024526401
447,ies,26383,4.421324177463862
2774, moment,26337,4.4205663037446925
1439,not,26317,4.420236380469888
308, T,26296,4.419889691073568
1276,What,26244,4.4190300290852615
1707, There,26119,4.4169565453903425
49,P,25943,4.414020195653663
19,2,25878,4.412930708529595
37,D,25820,4.411956237930402
844, We,25766,4.411047002456093
1897, days,25657,4.409205874189573
36,C,25657,4.409205874189573
990, end,25580,4.407900540142635
708, &,25499,4.406523148943849
1469, going,25457,4.405807222561457
278, m,25450,4.405687786672778
3564, hands,25420,4.40517554621799
2183, told,25406,4.4049362937527
1615,by,25398,4.404799518857654
455,all,25376,4.4044231656375095
2716, half,25246,4.4021925778788225
41,H,25219,4.401727861654499
3260, knew,25108,4.399812119978673
873, set,25051,4.3988250669622895
1907, having,25016,4.398217868234877
1805, better,24942,4.396931274889859
5658,you,24869,4.395658322334133
2546, asked,24673,4.392221958741192
1422, You,24612,4.391146906415991
20,3,24471,4.388651717026825
6,%,24463,4.388509715314879
678,eth,24427,4.387870132407363
2993,She,24417,4.387692303200921
3000, words,24343,4.386374099085483
358,em,24279,4.385230795112214
388, H,24258,4.384854991717318
723,ings,24131,4.382575319649486
2659, land,24122,4.382413313126267
10178,had,24105,4.382107135819026
303,im,24102,4.382053082115315
1612, power,24078,4.381620410117482
466,ie,24055,4.381205361238583
763,ish,23982,4.379885398643749
1231,We,23960,4.379486813717274
382,ist,23932,4.378978994170009
9094, ye,23900,4.378397900948138
1682, best,23746,4.375590463466876
1728, home,23713,4.37498650130111
4543, nor,23704,4.374821638471994
3517, soon,23626,4.37339019962747
292,et,23543,4.371861802620895
2137, war,23521,4.371455781913017
293,el,23447,4.3700872834352
3534, gave,23412,4.369438515442143
45,L,23398,4.369178736637275
2512,There,23376,4.368770198590221
348,ch,23365,4.368565785360332
298, l,23336,4.368026416113676
2282, course,23301,4.367374559874197
2217, enough,23231,4.366067904812481
3416, woman,23043,4.362539019830598
1070,led,23019,4.362086452920395
1552,This,23001,4.361746717975897
1355, small,22981,4.361368922743597
9,(,22748,4.35694321958013
473, O,22528,4.352722637462018
2316, room,22439,4.351003498566344
1633, something,22420,4.350635608258955
3101, mother,22412,4.350480613795531
1198, For,22392,4.350092885458106
757,ian,22331,4.348908171560365
1310, If,22325,4.348791467560584
280,ic,22276,4.3478372092177215
3982, brought,22266,4.347642204732427
807, year,22206,4.346470335478755
1417,less,22116,4.344706581266698
3750,ius,22105,4.344490519241893
6827, Mrs,22082,4.344038405543933
3369, door,22077,4.34394005764571
2635, Then,22070,4.343802333161655
276,ou,22042,4.343250998054363
2471, death,22034,4.343093345096137
6963, king,21963,4.341691661573092
3531, turned,21866,4.33976934376873
971, want,21817,4.338795031631806
399, D,21772,4.337898325645036
269, f,21752,4.337499194579443
83,r,21709,4.3366398186416895
3240, quite,21677,4.335999177608131
609,are,21601,4.334473856911537
360,um,21592,4.3342928715484605
531,one,21555,4.333548027189907
2238, kind,21540,4.333245698961963
1679, less,21532,4.33308437114365
6203, Lord,21366,4.329723224057897
324,ad,21349,4.329377537222727
401, F,21346,4.329316505090259
2761, almost,21285,4.3280736545131555
10943,.],21269,4.327747071252456
3407, began,21186,4.326048967946741
2668, taken,21166,4.3256387917905395
3347, son,21091,4.3240971716876135
1909,As,21066,4.323582079848995
2120, full,21051,4.323272731248478
3692, whose,20967,4.321536295193487
2302,No,20966,4.321515581460533
317,ac,20955,4.321287665169863
570,ne,20954,4.321266939574789
339,se,20916,4.320478633157618
11602,!”,20907,4.3202917192395605
585,con,20902,4.3201878434032635
2151, children,20860,4.319314304090512
39,F,20848,4.31906439836851
1919, until,20792,4.317896266492956
270, b,20774,4.317520127284809
3746, themselves,20763,4.317290103960419
4064,from,20705,4.316075234838397
3159, word,20666,4.315256425053211
300,il,20658,4.3150882730883175
2550, cannot,20593,4.313719619495093
2299, however,20591,4.313677438601324
258, o,20562,4.313065354813511
1580, since,20546,4.312727283778123
256, s,20496,4.311669112400611
1029, high,20491,4.311563153319913
40,G,20486,4.311457168381031
